GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_steering,cmd_v,imu_gps_state,imu_satellite_num,imu_warning,cmd_v.1,car_v,shiftLevel
2283.0,552643.77,121.51379038,37.43420347,45.54,200.79,7.8443999999999985,12.0,28.0,2.0,8,7.7734375,10,,
2283.0,552643.87,121.51378957,37.43420184,45.54,200.84,7.6320000000000014,12.0,28.0,2.0,8,7.7734375,10,,
2283.0,552643.97,121.51378871,37.43420006,45.54,200.96,7.506,12.0,28.0,2.0,8,7.71875,10,,
2283.0,552644.08,121.51378781,37.43419818,45.54,201.07,7.552799999999999,12.0,28.0,2.0,8,7.734375,10,,
2283.0,552644.17,121.51378701,37.43419657,45.54,201.2,7.5816,12.0,28.0,2.0,8,7.8125,10,,
2283.0,552644.27,121.51378598,37.43419441,45.54,201.33,7.812,12.0,30.0,2.0,8,7.8125,10,,
2283.0,552644.37,121.51378512,37.4341926,45.54,201.4,7.9452,12.0,30.0,2.0,8,7.71875,10,,
2283.0,552644.47,121.51378408,37.43419064,45.54,201.47,7.9092,12.0,29.0,2.0,8,7.734375,10,,
2283.0,552644.58,121.51378312,37.43418867,45.54,201.56,7.754399999999999,12.0,29.0,2.0,8,7.7734375,10,,
2283.0,552644.67,121.51378249,37.4341875,45.54,201.69,7.513200000000001,12.0,29.0,2.0,8,7.7890625,10,,
2283.0,552644.77,121.51378156,37.43418569,45.54,201.85,7.6752,12.0,29.0,2.0,8,7.8125,10,,
2283.0,552644.87,121.51378055,37.43418387,45.53,201.98,7.7147999999999985,12.0,28.0,2.0,8,7.734375,10,,
2283.0,552644.97,121.51377966,37.43418207,45.53,202.03,7.7436,12.0,28.0,2.0,8,7.734375,10,,
2283.0,552645.08,121.51377864,37.43418016,45.53,202.09,7.6788,12.0,28.0,2.0,8,7.734375,10,,
2283.0,552645.17,121.5137778,37.43417857,45.53,202.21,7.65,12.0,28.0,2.0,8,7.8515625,10,,
2283.0,552645.27,121.51377677,37.4341766,45.53,202.33,7.7832,12.0,28.0,2.0,8,7.8125,10,,
2283.0,552645.38,121.51377576,37.43417462,45.53,202.42,7.9704,12.0,28.0,2.0,8,7.7890625,10,,
2283.0,552645.47,121.51377507,37.43417338,45.53,202.42,7.8264,12.0,28.0,2.0,8,7.7734375,10,,
2283.0,552645.57,121.51377413,37.43417159,45.53,202.48,7.466399999999998,12.0,28.0,2.0,8,7.75,10,,
2283.0,552645.67,121.51377337,37.43417018,45.53,202.61,7.340400000000002,12.0,28.0,2.0,8,7.8515625,10,,
2283.0,552645.78,121.51377232,37.43416823,45.53,202.74,7.362,12.0,28.0,2.0,8,7.8515625,10,,
2283.0,552645.88,121.51377116,37.4341662,45.53,202.89,7.65,12.0,27.0,2.0,8,7.8125,10,,
2283.0,552645.97,121.51377028,37.4341646,45.53,202.92,8.172,12.0,27.0,2.0,8,7.7890625,10,,
2283.0,552646.07,121.51376926,37.43416282,45.53,202.87,8.0568,12.0,27.0,2.0,8,7.75,10,,
2283.0,552646.17,121.51376832,37.43416105,45.53,202.9,7.7147999999999985,12.0,27.0,2.0,8,7.7734375,10,,
2283.0,552646.27,121.51376815,37.43416067,45.54,203.08,7.264799999999998,12.0,30.0,2.0,8,7.7890625,10,,
2283.0,552646.38,121.51376713,37.43415872,45.54,203.28,7.4484,12.0,30.0,2.0,8,7.828125,10,,
2283.0,552646.47,121.51376605,37.43415682,45.54,203.42,7.718400000000001,12.0,30.0,2.0,8,7.7734375,10,,
2283.0,552646.57,121.51376512,37.43415507,45.54,203.5,7.646400000000001,12.0,30.0,2.0,8,7.6796875,10,,
2283.0,552646.67,121.51376412,37.43415327,45.53,203.65,7.6752,12.0,30.0,2.0,8,7.7890625,10,,
2283.0,552646.78,121.51376306,37.43415132,45.53,203.81,7.7652,12.0,30.0,2.0,8,7.8125,10,,
2283.0,552646.88,121.51376198,37.4341495,45.53,203.88,7.8372,12.0,30.0,2.0,8,7.734375,10,,
2283.0,552646.98,121.51376104,37.43414777,45.53,203.91,7.6896,12.0,30.0,2.0,8,7.734375,10,,
2283.0,552647.08,121.51376014,37.434146399999996,45.53,204.01,7.552799999999999,12.0,30.0,2.0,8,7.734375,10,,
2283.0,552647.17,121.51375923,37.43414486,45.53,204.13,7.452000000000001,12.0,30.0,2.0,8,7.7890625,10,,
2283.0,552647.28,121.51375811,37.43414288,45.53,204.22,7.513200000000001,12.0,30.0,2.0,8,7.7890625,10,,
2283.0,552647.38,121.51375712,37.43414115,45.53,204.36,7.506,12.0,30.0,2.0,8,7.75,10,,
2283.0,552647.47,121.51375612,37.43413928,45.53,204.44,7.660800000000001,12.0,30.0,2.0,8,7.71875,10,,
2283.0,552647.57,121.51375516,37.43413754,45.53,204.48,7.74,12.0,30.0,2.0,8,7.734375,10,,
2283.0,552647.67,121.51375417,37.4341357,45.53,204.57,7.754399999999999,12.0,30.0,2.0,8,7.8125,10,,
2283.0,552647.77,121.51375314,37.43413395,45.53,204.66,7.808400000000002,12.0,30.0,2.0,8,7.8125,10,,
2283.0,552647.87,121.51375207,37.43413212,45.53,204.68,7.628400000000001,12.0,30.0,2.0,8,7.734375,10,,
2283.0,552647.98,121.51375096,37.43413021,45.53,204.75,7.5024000000000015,12.0,30.0,2.0,8,7.734375,10,,
2283.0,552648.08,121.51375004,37.43412871,45.53,204.88,7.434,12.0,30.0,2.0,8,7.734375,10,,
2283.0,552648.17,121.51374907,37.43412716,45.53,205.04,7.628400000000001,12.0,30.0,2.0,8,7.8515625,10,,
2283.0,552648.27,121.51374757,37.4341248,45.53,205.11,7.9380000000000015,12.0,30.0,2.0,8,7.90625,10,,
2283.0,552648.37,121.51374654,37.43412304,45.53,205.14,7.901999999999999,12.0,30.0,2.0,8,7.8125,10,,
2283.0,552648.48,121.51374551,37.43412146,45.53,205.27,7.786799999999999,12.0,30.0,2.0,8,7.8125,10,,
2283.0,552648.58,121.51374446,37.43411972,45.53,205.42,7.6968,12.0,30.0,2.0,8,7.8125,10,,
2283.0,552648.68,121.51374339,37.43411805,45.53,205.53,7.7292,12.0,30.0,2.0,8,7.828125,10,,
2283.0,552648.77,121.51374247,37.43411649,45.52,205.6,7.6176,12.0,30.0,2.0,8,7.8125,10,,
2283.0,552648.87,121.51374137,37.43411479,45.52,205.76,7.6716,12.0,30.0,2.0,8,7.90625,10,,
2283.0,552648.98,121.51374021,37.43411286,45.52,205.85,7.934400000000001,12.0,30.0,2.0,8,7.8515625,10,,
2283.0,552649.08,121.51373914,37.43411107,45.52,205.82,7.8408,12.0,30.0,2.0,8,7.7890625,10,,
2283.0,552649.17,121.51373819999999,37.43410951,45.52,205.84,7.434,12.0,30.0,2.0,8,7.8515625,10,,
2283.0,552649.28,121.51373698,37.43410771,45.52,205.86,7.5312,12.0,30.0,2.0,8,7.7890625,10,,
2283.0,552649.37,121.51373602,37.43410617,45.52,205.82,7.732800000000001,12.0,30.0,2.0,8,7.828125,10,,
2283.0,552649.48,121.5137348,37.43410416,45.52,205.75,7.776000000000002,12.0,30.0,2.0,8,7.828125,10,,
2283.0,552649.57,121.51373388,37.43410262,45.52,205.69,7.5492,12.0,30.0,2.0,8,7.8515625,10,,
2283.0,552649.67,121.51373291,37.4341011,45.52,205.71,7.6356,12.0,29.0,2.0,8,7.8515625,10,,
2283.0,552649.77,121.51373187,37.43409938,45.52,205.72,7.6644,12.0,29.0,2.0,8,7.8125,10,,
2283.0,552649.88,121.51373069,37.43409746,45.52,205.71,7.6248,12.0,29.0,2.0,8,7.75,10,,
2283.0,552649.97,121.51372974,37.43409592,45.52,205.71,7.628400000000001,12.0,29.0,2.0,8,7.734375,10,,
2283.0,552650.08,121.51372852,37.43409402,45.51,205.7,7.6896,12.0,29.0,2.0,8,7.828125,10,,
2283.0,552650.18,121.51372745,37.43409231,45.51,205.7,7.700399999999999,12.0,29.0,2.0,8,7.7734375,10,,
2283.0,552650.28,121.5137263,37.43409068,45.51,205.66,7.6068,12.0,29.0,2.0,8,7.6953125,10,,
2283.0,552650.38,121.51372525,37.43408898,45.51,205.64,7.6356,12.0,29.0,2.0,8,7.71875,10,,
2283.0,552650.47,121.51372434,37.43408771,45.51,205.6,7.4628,12.0,29.0,2.0,8,7.734375,10,,
2283.0,552650.57,121.51372329,37.43408602,45.51,205.6,7.588800000000001,12.0,29.0,2.0,8,7.7890625,10,,
2283.0,552650.68,121.51372204,37.43408397,45.51,205.56,7.700399999999999,12.0,29.0,2.0,8,7.8515625,10,,
2283.0,552650.77,121.51372112,37.43408242,45.51,205.52,7.642800000000001,12.0,29.0,2.0,8,7.7890625,10,,
2283.0,552650.87,121.51372021,37.43408076,45.51,205.47,7.466399999999998,12.0,29.0,2.0,8,7.7734375,10,,
2283.0,552650.97,121.51371919,37.43407905,45.51,205.52,7.4232,12.0,29.0,2.0,8,7.7734375,10,,
2283.0,552651.07,121.51371805,37.43407712,45.51,205.52,7.7292,12.0,28.0,2.0,8,7.828125,10,,
2283.0,552651.17,121.51371706,37.43407539,45.51,205.47,7.8372,12.0,28.0,2.0,8,7.828125,10,,
2283.0,552651.28,121.51371588,37.43407355,45.51,205.47,7.718400000000001,12.0,29.0,2.0,8,7.8125,10,,
2283.0,552651.37,121.51371495,37.43407199,45.51,205.48,7.5456,12.0,29.0,2.0,8,7.7890625,10,,
2283.0,552651.47,121.51371401,37.43407017,45.51,205.43,7.5276,12.0,29.0,2.0,8,7.75,10,,
2283.0,552651.57,121.51371298,37.43406846,45.51,205.43,7.577999999999999,12.0,29.0,2.0,8,7.7734375,10,,
2283.0,552651.67,121.51371193,37.43406678,45.51,205.45,7.6212,12.0,29.0,2.0,8,7.8125,10,,
2283.0,552651.78,121.51371078,37.43406488,45.51,205.47,7.6032,12.0,29.0,2.0,8,7.7890625,10,,
2283.0,552651.87,121.51370972,37.43406323,45.51,205.48,7.7112,12.0,29.0,2.0,8,7.7734375,10,,
2283.0,552651.98,121.51370861,37.43406132,45.51,205.45,7.7040000000000015,12.0,29.0,2.0,8,7.734375,10,,
2283.0,552652.07,121.51370773,37.43405995,45.5,205.44,7.5348,12.0,29.0,2.0,8,7.734375,10,,
2283.0,552652.17,121.51370671,37.43405823,45.5,205.41,7.585200000000001,12.0,29.0,2.0,8,7.7734375,10,,
2283.0,552652.27,121.5137057,37.43405663,45.5,205.37,7.5312,12.0,30.0,2.0,8,7.8515625,10,,
2283.0,552652.37,121.51370468,37.43405491,45.5,205.36,7.570800000000001,12.0,30.0,2.0,8,7.7734375,10,,
2283.0,552652.47,121.51370366,37.43405333,45.5,205.37,7.552799999999999,12.0,28.0,2.0,8,7.734375,10,,
2283.0,552652.57,121.51370264,37.43405161,45.5,205.36,7.480799999999999,12.0,28.0,2.0,8,7.7890625,10,,
2283.0,552652.68,121.5137014,37.43404966,45.5,205.34,7.4916,12.0,28.0,2.0,8,7.8125,10,,
2283.0,552652.77,121.51370048,37.43404814,45.5,205.28,7.577999999999999,12.0,28.0,2.0,8,7.8515625,10,,
2283.0,552652.88,121.51369931,37.43404636,45.5,205.23,7.6320000000000014,12.0,28.0,2.0,8,7.8515625,10,,
2283.0,552652.98,121.51369829,37.43404465,45.5,205.18,7.6716,12.0,28.0,2.0,8,7.75,10,,
