GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_steering,cmd_v,imu_gps_state,imu_satellite_num,imu_warning,cmd_v.1,car_v,shiftLevel,均值,方差,标准差,均方根误差
2283.0,551835.41,121.51607418,37.43329291,64.07,297.93,0.3816,12.0,30.0,2.0,5,0.4921875,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551835.52,121.51607405,37.43329291,64.07,297.87,0.486,12.0,30.0,2.0,5,0.46875,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551835.62,121.51607390000001,37.43329297,64.06,297.84,0.4608,12.0,30.0,2.0,5,0.5703125,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551835.72,121.51607376,37.43329303,64.06,297.83,0.4932,12.0,30.0,2.0,5,0.5859375,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551835.82,121.51607361,37.43329308,64.07,297.78,0.5508,12.0,30.0,2.0,5,0.625,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551835.92,121.51607343,37.43329312,64.06,297.74,0.5940000000000001,12.0,30.0,2.0,5,0.734375,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551836.02,121.51607326,37.43329318,64.06,297.71,0.6048,12.0,30.0,2.0,5,0.8125,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551836.12,121.51607307,37.43329322,64.06,297.66,0.6804,12.0,30.0,2.0,5,0.890625,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551836.22,121.51607286,37.43329329,64.06,297.62,0.8028000000000001,12.0,30.0,2.0,5,1.0,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551836.32,121.51607263,37.43329339,64.06,297.57,0.9288,12.0,30.0,2.0,5,1.1015625,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551836.41,121.51607240000001,37.43329349,64.06,297.47,0.9792,12.0,30.0,2.0,5,1.234375,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551836.52,121.51607205,37.43329365,64.06,297.33,1.0584,12.0,30.0,2.0,5,1.515625,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551836.62,121.51607173,37.43329379,64.06,297.21,1.2816,12.0,30.0,2.0,5,1.8046875,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551836.72,121.51607136,37.43329392,64.06,297.09,1.4292,12.0,30.0,2.0,5,2.1796875,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551836.81,121.51607096,37.43329406,64.06,297.03,1.6272,12.0,30.0,2.0,5,2.640625,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551836.92,121.51607035,37.43329426,64.06,296.92,2.1096,12.0,30.0,2.0,5,2.828125,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551837.02,121.51606966,37.4332945,64.06,296.81,2.6784,12.0,30.0,2.0,5,2.921875,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551837.12,121.51606888,37.43329471,64.06,296.59,3.0528,12.0,30.0,2.0,5,3.015625,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551837.22,121.51606797,37.433295,64.06,296.38,3.276,12.0,30.0,2.0,5,3.2109375,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
2283.0,551837.32,121.51606728,37.43329515,64.05,295.93,2.9736,12.0,30.0,2.0,5,3.2890625,10,,,4.7851804554079695,1.0862674219329995,1.0422415372326126,1.0641498290521532
