GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_v,car_v,shiftLevel,均值,方差,标准差,均方根误差
2284.0,96095.46,121.51386886,37.43438415,45.93,198.88,4.0968,4,4.125,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96095.56,121.51386853,37.43438317,45.93,198.76,3.8196,4,4.1015625,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96095.66,121.51386817,37.43438219,45.93,198.78,4.518,4,4.0859375,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96095.76,121.51386782,37.43438124,45.93,198.76,4.1112,4,4.125,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96095.86,121.51386745,37.43438027,45.92,198.66,4.3128,4,4.0625,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96095.96,121.51386706,37.43437936,45.93,198.69,4.0932,4,4.046875,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96096.06,121.51386669,37.4343784,45.92,198.52,4.0464,4,4.0625,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96096.16,121.51386629999999,37.43437749,45.93,198.59,4.013999999999999,4,4.046875,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96096.26,121.51386597,37.43437652,45.92,198.41,3.6828,4,4.0234375,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96096.36,121.51386562,37.43437558,45.93,198.37,3.8556,4,4.0234375,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96096.46,121.51386531,37.43437463,45.92,198.22,3.5604,4,4.046875,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96096.56,121.51386495,37.43437369,45.92,198.19,4.0068,4,4.046875,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96096.66,121.51386461,37.43437277,45.92,198.13,3.7764,4,4.0078125,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
