GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,x,y,v,cmd_steering,cmd_v,imu_gps_state,imu_satellite_num,imu_warning
2265.0,218967.35,121.51763684,37.43844939,37.72,282.26,899750.6630405878,4153104.5790085136,0.436,-63.57264320161094,1.8,42.0,23.0,2.0
2265.0,218967.5,121.51763604,37.43844954,37.72,280.9,899750.5914128122,4153104.5922612725,0.457,-54.780627135776385,1.8,42.0,24.0,2.0
2265.0,218967.66,121.5176352,37.43844969,37.73,279.65,899750.5162436486,4153104.6053439323,0.471,-46.85077786888714,1.8,42.0,24.0,2.0
2265.0,218967.79,121.51763454,37.43844981,37.73,278.87,899750.4571707337,4153104.6158610894,0.469,-42.368469890268074,1.8,42.0,24.0,2.0
2265.0,218967.94,121.51763373,37.43844993,37.74,278.04,899750.3848176063,4153104.625740365,0.458,-37.22151062711473,1.8,42.0,24.0,2.0
2265.0,218968.09,121.51763293,37.43845003,37.74,277.35,899750.3134564916,4153104.633441528,0.461,-32.712721123562,1.8,42.0,24.0,2.0
2265.0,218968.25,121.51763211,37.43845011,37.74,276.78,899750.2404313411,4153104.6388370018,0.462,-28.54200803866051,1.8,42.0,25.0,2.0
2265.0,218968.38,121.51763144,37.43845019,37.74,276.39,899750.1806864078,4153104.644870355,0.458,-26.250269670487654,1.8,42.0,25.0,2.0
2265.0,218968.55,121.51763055,37.43845026,37.75,275.95,899750.1015171576,4153104.648857831,0.454,-22.64555882602349,1.8,42.0,24.0,2.0
2265.0,218968.68,121.51762986,37.43845032,37.75,275.71,899750.0401081912,4153104.6525854967,0.467,-20.859890626270083,1.8,42.0,25.0,2.0
2265.0,218968.81,121.51762919,37.43845039,37.75,275.47,899749.9804165855,4153104.65750853,0.466,-19.536761625056375,1.8,42.0,25.0,2.0
2265.0,218968.95,121.51762844,37.43845045,37.76,275.35,899749.9136955347,4153104.660981044,0.456,-18.558801973529857,1.8,42.0,25.0,2.0
2265.0,218969.12,121.51762755,37.43845054,37.76,275.19,899749.8344196224,4153104.6671891613,0.461,-18.076499612663962,1.8,42.0,25.0,2.0
2265.0,218969.24,121.51762692,37.43845058,37.76,275.08,899749.7784294037,4153104.6689513405,0.452,-16.74067355781716,1.8,42.0,27.0,2.0
2265.0,218969.38,121.51762621,37.43845064,37.77,275.04,899749.7152497438,4153104.6725939573,0.458,-16.57391759845091,1.8,42.0,27.0,2.0
2265.0,218969.52,121.51762547,37.4384507,37.77,274.98,899749.6494140384,4153104.676108997,0.443,-16.57391759845091,1.8,42.0,26.0,2.0
2265.0,218969.71,121.51762449,37.43845077,37.77,274.91,899749.562276664,4153104.6797137493,0.454,5.442391322625729,1.8,42.0,26.0,2.0
2265.0,218969.84,121.51762378,37.43845081,37.77,274.86,899749.4992036647,4153104.6811357266,0.458,6.773157712621095,1.8,42.0,25.0,2.0
2265.0,218969.98,121.51762306,37.43845087,37.78,274.8,899749.4351386561,4153104.6847358188,0.449,7.817298003280984,1.8,42.0,25.0,2.0
2265.0,218970.12,121.51762232,37.43845091,37.78,274.74,899749.3694096138,4153104.686030221,0.449,9.407532657137427,1.8,42.0,26.0,2.0
